src_ip,dst_ip,ran_ngap_ue_id,label,timestamp_seq,direc_seq,procedurecode_seq,ngap_type_seq,nas_sec_seq,nas_type_seq,cell_id_seq,tac_seq,time_seq,seq_no,ue_status,establish_cause,nRencryption,nRintegrityProtection,eUTRAencryption,eUTRAintegrityProtection,mmfor,reg_type,tsc,nas_key_set_id,mcc,mnc,supi_fmt,type_id,nssaa_perf,sms_all,reg_result,mpsi,iwk_n26,emf,emc,vops_n3gpp,vops_3gpp,up_ciot,iphc_cp_ciot,n3_data,cp_ciot,restrictec,mcsi,emcn3,mm_cause,switch_off,re_reg_req,acc_type,serv_type,abba,cipher_alg,integrity_alg,max_data_rate_ul,max_data_rate_dl,sel_sc_mode,pdu_session_type,sm_cause,cause_nas,timezone
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.012750864028930664, 0.014535903930664062, 3.018746852874756, 3.031888961791992, 3.0365118980407715, 6.03942084312439]","[1, 0, 1, 1, 0, 1, 1]","[46, 29, 29, 46, 29, 29, 46]","[46, 84, 85, 46, 84, 85, 46]","[2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39]","[3, 3, 3, -1, -1, -1, -1]","[264544, 264544, 264544, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[20, 20, 21, 21, 22, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.11,192.168.3.10,2,1,"[0.0, 0.0018808841705322266, 3.003199815750122, 3.0157759189605713, 3.017524003982544, 6.020633935928345, 6.03736686706543]","[0, 1, 1, 0, 1, 1, 0]","[29, 29, 46, 29, 29, 46, 29]","[84, 85, 46, 84, 85, 46, 84]","[2, 0, 2, 0, 2, 0, 2]","[39, 129, 38, 128, 39, 129, 38]","[3, 3, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[22, 23, 23, 24, 24, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 2.992954969406128, 3.0079309940338135, 3.009488821029663, 6.003342866897583, 6.019822835922241, 6.022179841995239]","[1, 1, 0, 1, 1, 0, 1]","[29, 46, 29, 29, 46, 29, 29]","[85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39]","[3, 3, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[25, 25, 26, 26, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.012880086898803711, 0.014578104019165039, 3.0076851844787598, 3.021389961242676, 3.0230729579925537, 6.026060104370117]","[1, 0, 1, 1, 0, 1, 1]","[46, 29, 29, 46, 29, 29, 46]","[46, 84, 85, 46, 84, 85, 46]","[2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39]","[3, 3, 3, -1, -1, -1, -1]","[264544, 264544, 264544, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[27, 27, 28, 28, 29, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.11,192.168.3.10,2,1,"[0.0, 0.0017812252044677734, 3.006615161895752, 3.0205271244049072, 3.0221660137176514, 6.02674412727356, 6.042522192001343]","[0, 1, 1, 0, 1, 1, 0]","[29, 29, 46, 29, 29, 46, 29]","[84, 85, 46, 84, 85, 46, 84]","[2, 0, 2, 0, 2, 0, 2]","[39, 129, 38, 128, 39, 129, 38]","[3, 3, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[29, 30, 30, 31, 31, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 3.0041110515594482, 3.0179250240325928, 3.021890878677368, 6.02931809425354, 6.0428478717803955, 6.047183036804199]","[1, 1, 0, 1, 1, 0, 1]","[29, 46, 29, 29, 46, 29, 29]","[85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39]","[3, 3, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[32, 32, 33, 33, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.013191938400268555, 0.01515507698059082, 3.0195751190185547, 3.04338002204895, 3.045156955718994, 6.049832105636597]","[1, 0, 1, 1, 0, 1, 1]","[46, 29, 29, 46, 29, 29, 46]","[46, 84, 85, 46, 84, 85, 46]","[2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39]","[3, 3, 3, -1, -1, -1, -1]","[264544, 264544, 264544, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[34, 34, 35, 35, 36, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.11,192.168.3.10,2,1,"[0.0, 0.00479888916015625, 2.9980568885803223, 3.0120909214019775, 3.013638973236084, 6.008014917373657, 6.022287845611572]","[0, 1, 1, 0, 1, 1, 0]","[29, 29, 46, 29, 29, 46, 29]","[84, 85, 46, 84, 85, 46, 84]","[2, 0, 2, 0, 2, 0, 2]","[39, 129, 38, 128, 39, 129, 38]","[3, 3, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[36, 37, 37, 38, 38, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 2.9936840534210205, 3.008047103881836, 3.009598970413208, 6.004431962966919, 6.030301094055176, 6.034271001815796]","[1, 1, 0, 1, 1, 0, 1]","[29, 46, 29, 29, 46, 29, 29]","[85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39]","[3, 3, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[39, 39, 40, 40, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.015508890151977539, 0.017239093780517578, 0.028955936431884766, 0.03217911720275879, 0.0403139591217041, 0.04128599166870117]","[1, 0, 1, 0, 1, 0, 1]","[15, 4, 46, 4, 46, 14, 14]","[15, 4, 46, 4, 46, 82, 83]","[0, 0, 0, 3, 0, 4, 0]","[0, 21, 22, 28, 29, 0, 1]","[3, 3, 3, -1, -1, -1, -1]","[264544, 264544, 264544, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, -1, -1, -1, -1]",1,3,57344,57344,57344,57344,1,0,0,3,208,95,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,2,-1,-1,-1,-1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.0015799999237060547, 2.996569871902466, 3.0115249156951904, 3.0164949893951416, 6.021407842636108, 6.035960912704468]","[1, 1, 1, 0, 1, 1, 0]","[44, 46, 46, 29, 29, 46, 29]","[44, 46, 46, 84, 85, 46, 84]","[2, 0, 2, 0, 2, 0, 2]","[2, 38, 128, 39, 129, 38, 128]","[3, 3, 3, -1, -1, -1, -1]","[264544, 264544, 264544, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 3, 3, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 3.0020639896392822, 3.0170540809631348, 3.0187630653381348, 6.023058176040649, 6.038459062576294, 6.04037618637085]","[1, 1, 0, 1, 1, 0, 1]","[29, 46, 29, 29, 46, 29, 29]","[85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39]","[3, 3, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[4, 4, 5, 5, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.02919793128967285, 0.030786991119384766, 3.0267419815063477, 3.0450448989868164, 3.0491178035736084, 6.0459959506988525]","[1, 0, 1, 1, 0, 1, 1]","[46, 29, 29, 46, 29, 29, 46]","[46, 84, 85, 46, 84, 85, 46]","[2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39]","[3, 3, 3, -1, -1, -1, -1]","[264544, 264544, 264544, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[6, 6, 7, 7, 8, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.11,192.168.3.10,2,1,"[0.0, 0.0043599605560302734, 3.0097150802612305, 3.0234029293060303, 3.0276451110839844, 6.0215349197387695, 6.044995069503784]","[0, 1, 1, 0, 1, 1, 0]","[29, 29, 46, 29, 29, 46, 29]","[84, 85, 46, 84, 85, 46, 84]","[2, 0, 2, 0, 2, 0, 2]","[39, 129, 38, 128, 39, 129, 38]","[3, 3, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[8, 9, 9, 10, 10, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 2.99288010597229, 3.005208969116211, 3.0068459510803223, 6.010030031204224, 6.02236795425415, 6.024333953857422]","[1, 1, 0, 1, 1, 0, 1]","[29, 46, 29, 29, 46, 29, 29]","[85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39]","[3, 3, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[11, 11, 12, 12, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.013041019439697266, 0.014575958251953125, 3.0171921253204346, 3.0294361114501953, 3.0309600830078125, 6.026221036911011]","[1, 0, 1, 1, 0, 1, 1]","[46, 29, 29, 46, 29, 29, 46]","[46, 84, 85, 46, 84, 85, 46]","[2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39]","[3, 3, 3, -1, -1, -1, -1]","[264544, 264544, 264544, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[13, 13, 14, 14, 15, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.11,192.168.3.10,2,1,"[0.0, 0.001683950424194336, 3.0055670738220215, 3.0215768814086914, 3.025712013244629, 6.029543876647949, 6.041977882385254]","[0, 1, 1, 0, 1, 1, 0]","[29, 29, 46, 29, 29, 46, 29]","[84, 85, 46, 84, 85, 46, 84]","[2, 0, 2, 0, 2, 0, 2]","[39, 129, 38, 128, 39, 129, 38]","[3, 3, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[15, 16, 16, 17, 17, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 2.993222951889038, 3.0062668323516846, 3.0083608627319336, 6.0118138790130615, 6.024718999862671, 6.026473045349121]","[1, 1, 0, 1, 1, 0, 1]","[29, 46, 29, 29, 46, 29, 29]","[85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39]","[3, 3, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[18, 18, 19, 19, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.012750864028930664, 0.014535903930664062, 3.018746852874756, 3.031888961791992, 3.0365118980407715, 6.03942084312439]","[1, 0, 1, 1, 0, 1, 1]","[46, 29, 29, 46, 29, 29, 46]","[46, 84, 85, 46, 84, 85, 46]","[2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39]","[3, 3, 3, -1, -1, -1, -1]","[264544, 264544, 264544, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[20, 20, 21, 21, 22, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.11,192.168.3.10,2,1,"[0.0, 0.0018808841705322266, 3.003199815750122, 3.0157759189605713, 3.017524003982544, 6.020633935928345, 6.03736686706543]","[0, 1, 1, 0, 1, 1, 0]","[29, 29, 46, 29, 29, 46, 29]","[84, 85, 46, 84, 85, 46, 84]","[2, 0, 2, 0, 2, 0, 2]","[39, 129, 38, 128, 39, 129, 38]","[3, 3, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[22, 23, 23, 24, 24, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 2.992954969406128, 3.0079309940338135, 3.009488821029663, 6.003342866897583, 6.019822835922241, 6.022179841995239]","[1, 1, 0, 1, 1, 0, 1]","[29, 46, 29, 29, 46, 29, 29]","[85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39]","[3, 3, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[25, 25, 26, 26, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.012880086898803711, 0.014578104019165039, 3.0076851844787598, 3.021389961242676, 3.0230729579925537, 6.026060104370117]","[1, 0, 1, 1, 0, 1, 1]","[46, 29, 29, 46, 29, 29, 46]","[46, 84, 85, 46, 84, 85, 46]","[2, 0, 2, 0, 2, 0, 2]","[38, 128, 39, 129, 38, 128, 39]","[3, 3, 3, -1, -1, -1, -1]","[264544, 264544, 264544, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0]","[27, 27, 28, 28, 29, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
