src_ip,dst_ip,ran_ngap_ue_id,label,timestamp_seq,direc_seq,procedurecode_seq,ngap_type_seq,nas_sec_seq,nas_type_seq,cell_id_seq,tac_seq,time_seq,seq_no,ue_status,establish_cause,nRencryption,nRintegrityProtection,eUTRAencryption,eUTRAintegrityProtection,mmfor,reg_type,tsc,nas_key_set_id,mcc,mnc,supi_fmt,type_id,nssaa_perf,sms_all,reg_result,mpsi,iwk_n26,emf,emc,vops_n3gpp,vops_3gpp,up_ciot,iphc_cp_ciot,n3_data,cp_ciot,restrictec,mcsi,emcn3,mm_cause,switch_off,re_reg_req,acc_type,serv_type,abba,cipher_alg,integrity_alg,max_data_rate_ul,max_data_rate_dl,sel_sc_mode,pdu_session_type,sm_cause,cause_nas,timezone
172.30.209.210,192.168.71.132,0,1,"[0.0, 0.006327390670776367, 0.03465676307678223, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[15, 4, 46, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[15, 4, 46, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 21, 27, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[917504, 917504, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,3,-1,-1,-1,-1,1,1,0,1,208,99,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.015508890151977539, 0.017239093780517578, 0.028955936431884766, 0.03217911720275879, 0.0403139591217041, 0.04128599166870117, 0.04140806198120117, 0.04298806190490723, 3.037977933883667, 3.0529329776763916, 3.0579030513763428]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1]","[15, 4, 46, 4, 46, 14, 14, 44, 46, 46, 29, 29]","[15, 4, 46, 4, 46, 82, 83, 44, 46, 46, 84, 85]","[0, 0, 0, 3, 0, 4, 0, 0, 2, 0, 2, 0]","[0, 21, 22, 28, 29, 0, 1, 2, 38, 128, 39, 129]","[3, 3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 2, 2, -1, -1, -1, -1, -1, -1]",1,3,57344,57344,57344,57344,1,0,0,3,208,95,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,2,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.014553070068359375, 0.01671600341796875, 3.018779993057251, 3.0337700843811035, 3.0354790687561035, 6.039774179458618, 6.055175065994263, 6.057092189788818, 9.06052017211914, 9.089718103408813, 9.091307163238525]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 4, 4, 5, 5, 6, 6, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.01830291748046875, 0.022375822067260742, 3.019253969192505, 3.0358779430389404, 3.0402379035949707, 6.045593023300171, 6.059280872344971, 6.063523054122925, 9.05741286277771, 9.080873012542725, 9.083272933959961]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 8, 8, 9, 9, 10, 10, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.012328863143920898, 0.013965845108032227, 3.0171499252319336, 3.0294878482818604, 3.031453847885132, 6.035369873046875, 6.048410892486572, 6.049945831298828, 9.05256199836731, 9.06480598449707, 9.066329956054688]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 11, 12, 12, 13, 13, 14, 14, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.011677026748657227, 0.013360977172851562, 3.0172441005706787, 3.0332539081573486, 3.037389039993286, 6.0412209033966064, 6.053654909133911, 6.05516505241394, 9.048388004302979, 9.061431884765625, 9.063525915145874]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[15, 15, 16, 16, 17, 17, 18, 18, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.012905120849609375, 0.01465916633605957, 3.0169451236724854, 3.029695987701416, 3.0314810276031494, 6.035691976547241, 6.0488340854644775, 6.053457021713257, 9.056365966796875, 9.070227146148682, 9.072108030319214]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 19, 20, 20, 21, 21, 22, 22, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.012576103210449219, 0.014324188232421875, 3.0174341201782227, 3.0341670513153076, 3.0358521938323975, 6.028807163238525, 6.043783187866211, 6.0453410148620605, 9.03919506072998, 9.055675029754639, 9.058032035827637]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23, 23, 24, 24, 25, 25, 26, 26, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.012880086898803711, 0.014578104019165039, 3.0076851844787598, 3.021389961242676, 3.0230729579925537, 6.026060104370117, 6.03883695602417, 6.040618181228638, 9.045452117919922, 9.059364080429077, 9.061002969741821]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 27, 28, 28, 29, 29, 30, 30, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.015778064727783203, 0.017452001571655273, 3.0215630531311035, 3.035377025604248, 3.0393428802490234, 6.046770095825195, 6.060299873352051, 6.0646350383758545, 9.069072961807251, 9.08226490020752, 9.084228038787842]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[31, 31, 32, 32, 33, 33, 34, 34, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.023804903030395508, 0.025581836700439453, 3.030256986618042, 3.045480966567993, 3.0502798557281494, 6.043537855148315, 6.057571887969971, 6.059119939804077, 9.05349588394165, 9.067768812179565, 9.069538831710815]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 35, 36, 36, 37, 37, 38, 38, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.01436305046081543, 0.0159149169921875, 3.0107479095458984, 3.0366170406341553, 3.0405869483947754, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 1, -1, -1, -1, -1, -1, -1]","[46, 29, 29, 46, 29, 29, -1, -1, -1, -1, -1, -1]","[46, 84, 85, 46, 84, 85, -1, -1, -1, -1, -1, -1]","[2, 0, 2, 0, 2, 0, 2, 0, -1, -1, -1, -1]","[38, 128, 39, 129, 38, 128, 39, 129, -1, -1, -1, -1]","[3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[39, 39, 40, 40, -1, -1, -1, -1, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.015508890151977539, 0.017239093780517578, 0.028955936431884766, 0.03217911720275879, 0.0403139591217041, 0.04128599166870117, 0.04140806198120117, 0.04298806190490723, 3.037977933883667, 3.0529329776763916, 3.0579030513763428]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1]","[15, 4, 46, 4, 46, 14, 14, 44, 46, 46, 29, 29]","[15, 4, 46, 4, 46, 82, 83, 44, 46, 46, 84, 85]","[0, 0, 0, 3, 0, 4, 0, 0, 2, 0, 2, 0]","[0, 21, 22, 28, 29, 0, 1, 2, 38, 128, 39, 129]","[3, 3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 2, 2, -1, -1, -1, -1, -1, -1]",1,3,57344,57344,57344,57344,1,0,0,3,208,95,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,2,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.014553070068359375, 0.01671600341796875, 3.018779993057251, 3.0337700843811035, 3.0354790687561035, 6.039774179458618, 6.055175065994263, 6.057092189788818, 9.06052017211914, 9.089718103408813, 9.091307163238525]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 4, 4, 5, 5, 6, 6, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.01830291748046875, 0.022375822067260742, 3.019253969192505, 3.0358779430389404, 3.0402379035949707, 6.045593023300171, 6.059280872344971, 6.063523054122925, 9.05741286277771, 9.080873012542725, 9.083272933959961]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 8, 8, 9, 9, 10, 10, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.012328863143920898, 0.013965845108032227, 3.0171499252319336, 3.0294878482818604, 3.031453847885132, 6.035369873046875, 6.048410892486572, 6.049945831298828, 9.05256199836731, 9.06480598449707, 9.066329956054688]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 11, 12, 12, 13, 13, 14, 14, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.011677026748657227, 0.013360977172851562, 3.0172441005706787, 3.0332539081573486, 3.037389039993286, 6.0412209033966064, 6.053654909133911, 6.05516505241394, 9.048388004302979, 9.061431884765625, 9.063525915145874]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[15, 15, 16, 16, 17, 17, 18, 18, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.012905120849609375, 0.01465916633605957, 3.0169451236724854, 3.029695987701416, 3.0314810276031494, 6.035691976547241, 6.0488340854644775, 6.053457021713257, 9.056365966796875, 9.070227146148682, 9.072108030319214]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 19, 20, 20, 21, 21, 22, 22, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.012576103210449219, 0.014324188232421875, 3.0174341201782227, 3.0341670513153076, 3.0358521938323975, 6.028807163238525, 6.043783187866211, 6.0453410148620605, 9.03919506072998, 9.055675029754639, 9.058032035827637]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[23, 23, 24, 24, 25, 25, 26, 26, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.012880086898803711, 0.014578104019165039, 3.0076851844787598, 3.021389961242676, 3.0230729579925537, 6.026060104370117, 6.03883695602417, 6.040618181228638, 9.045452117919922, 9.059364080429077, 9.061002969741821]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 27, 28, 28, 29, 29, 30, 30, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.015778064727783203, 0.017452001571655273, 3.0215630531311035, 3.035377025604248, 3.0393428802490234, 6.046770095825195, 6.060299873352051, 6.0646350383758545, 9.069072961807251, 9.08226490020752, 9.084228038787842]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[31, 31, 32, 32, 33, 33, 34, 34, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.023804903030395508, 0.025581836700439453, 3.030256986618042, 3.045480966567993, 3.0502798557281494, 6.043537855148315, 6.057571887969971, 6.059119939804077, 9.05349588394165, 9.067768812179565, 9.069538831710815]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 46, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 46, 84, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 35, 36, 36, 37, 37, 38, 38, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
192.168.3.10,192.168.3.11,2,1,"[0.0, 0.01436305046081543, 0.0159149169921875, 3.0107479095458984, 3.0366170406341553, 3.0405869483947754, 1726795.906158924, 1726795.9613080025, 1726795.9642400742, 1726795.9642620087, 1726795.9642739296, 1726795.964286089]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]","[46, 29, 29, 46, 29, 29, 46, 29, 29, 29, 29, 29]","[46, 84, 85, 46, 84, 85, 46, 84, 85, 85, 85, 85]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[38, 128, 39, 129, 38, 128, 39, 129, 38, 128, 39, 129]","[3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[264544, 264544, 264544, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[39, 39, 40, 40, 2, 2, -1, -1, -1, -1, -1, -1]",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1
